sport,league,date,time,home_team,away_team,status
MLB,MLB,2025-09-13,00:15,Milwaukee Brewers,St. Louis Cardinals,Upcoming
MLB,MLB,2025-09-13,00:40,San Diego Padres,Colorado Rockies,Upcoming
MLB,MLB,2025-09-13,01:05,San Francisco Giants,Los Angeles Dodgers,Upcoming
MLB,MLB,2025-09-13,01:40,Seattle Mariners,Los Angeles Angels,Upcoming
MLB,MLB,2025-09-13,02:05,Athletics,Cincinnati Reds,Upcoming
MLB,MLB,2025-09-13,18:20,Chicago Cubs,Tampa Bay Rays,Upcoming
MLB,MLB,2025-09-13,19:07,Toronto Blue Jays,Baltimore Orioles,Upcoming
MLB,MLB,2025-09-13,20:05,Washington Nationals,Pittsburgh Pirates,Upcoming
MLB,MLB,2025-09-13,20:10,New York Mets,Texas Rangers,Upcoming
MLB,MLB,2025-09-13,20:10,Miami Marlins,Detroit Tigers,Upcoming
MLB,MLB,2025-09-13,20:10,Boston Red Sox,New York Yankees,Upcoming
MLB,MLB,2025-09-13,22:05,Philadelphia Phillies,Kansas City Royals,Upcoming
MLB,MLB,2025-09-13,22:10,Cleveland Guardians,Chicago White Sox,Upcoming
MLB,MLB,2025-09-13,23:10,Minnesota Twins,Arizona Diamondbacks,Upcoming
MLB,MLB,2025-09-13,23:15,Atlanta Braves,Houston Astros,Upcoming
MLB,MLB,2025-09-14,15:35,Washington Nationals,Pittsburgh Pirates,Upcoming
MLB,MLB,2025-09-14,17:35,Philadelphia Phillies,Kansas City Royals,Upcoming
MLB,MLB,2025-09-14,17:35,Atlanta Braves,Houston Astros,Upcoming
MLB,MLB,2025-09-14,17:37,Toronto Blue Jays,Baltimore Orioles,Upcoming
MLB,MLB,2025-09-14,17:40,New York Mets,Texas Rangers,Upcoming
MLB,MLB,2025-09-14,17:40,Cleveland Guardians,Chicago White Sox,Upcoming
MLB,MLB,2025-09-14,17:40,Miami Marlins,Detroit Tigers,Upcoming
MLB,MLB,2025-09-14,18:10,Minnesota Twins,Arizona Diamondbacks,Upcoming
MLB,MLB,2025-09-14,18:10,Milwaukee Brewers,St. Louis Cardinals,Upcoming
MLB,MLB,2025-09-14,18:20,Chicago Cubs,Tampa Bay Rays,Upcoming
MLB,MLB,2025-09-14,20:05,Athletics,Cincinnati Reds,Upcoming
MLB,MLB,2025-09-14,20:05,San Francisco Giants,Los Angeles Dodgers,Upcoming
MLB,MLB,2025-09-14,20:10,San Diego Padres,Colorado Rockies,Upcoming
MLB,MLB,2025-09-14,20:10,Seattle Mariners,Los Angeles Angels,Upcoming
MLB,MLB,2025-09-14,23:10,Boston Red Sox,New York Yankees,Upcoming
MLB,MLB,2025-09-15,00:10,Houston Astros,Texas Rangers,Upcoming
MLB,MLB,2025-09-15,01:40,Arizona Diamondbacks,San Francisco Giants,Upcoming
MLB,MLB,2025-09-15,02:10,Los Angeles Dodgers,Philadelphia Phillies,Upcoming
MLB,MLB,2025-09-15,22:40,Pittsburgh Pirates,Chicago Cubs,Upcoming
MLB,MLB,2025-09-15,22:45,Washington Nationals,Atlanta Braves,Upcoming
MLB,MLB,2025-09-15,23:35,Tampa Bay Rays,Toronto Blue Jays,Upcoming
MLB,MLB,2025-09-15,23:40,Chicago White Sox,Baltimore Orioles,Upcoming
MLB,MLB,2025-09-15,23:40,Minnesota Twins,New York Yankees,Upcoming
MLB,MLB,2025-09-15,23:45,St. Louis Cardinals,Cincinnati Reds,Upcoming
MLB,MLB,2025-09-16,00:10,Houston Astros,Texas Rangers,Upcoming
MLB,MLB,2025-09-16,00:40,Colorado Rockies,Miami Marlins,Upcoming
MLB,MLB,2025-09-16,01:40,Arizona Diamondbacks,San Francisco Giants,Upcoming
MLB,MLB,2025-09-16,02:10,Los Angeles Dodgers,Philadelphia Phillies,Upcoming
MLB,MLB,2025-09-16,17:05,Washington Nationals,Atlanta Braves,Upcoming
MLB,MLB,2025-09-16,22:40,Detroit Tigers,Cleveland Guardians,Upcoming
